Job 626            , total_duration: 96.94ms        , real_time_elapsed: 2.337114ms     
Job 698            , total_duration: 1.580300032s   , real_time_elapsed: 743.448355ms   
Job 630            , total_duration: 214.48ms       , real_time_elapsed: 83.097123ms    
Job 677            , total_duration: 1.113000064s   , real_time_elapsed: 553.637007ms   
Job 625            , total_duration: 133ms          , real_time_elapsed: 23.814747ms    
Job 632            , total_duration: 245.69ms       , real_time_elapsed: 107.832126ms   
Job 691            , total_duration: 1.386600064s   , real_time_elapsed: 682.943126ms   
Job 656            , total_duration: 636.110016ms   , real_time_elapsed: 334.406263ms   
Job 669            , total_duration: 980.459968ms   , real_time_elapsed: 501.993126ms   
Job 619            , total_duration: 103.97ms       , real_time_elapsed: 3.955592ms     
Job 618            , total_duration: 44.879µs       , real_time_elapsed: 1.244249ms     
Job 631            , total_duration: 303.64ms       , real_time_elapsed: 140.042128ms   
Job 614            , total_duration: 46.272ms       , real_time_elapsed: 1.354723ms     
Job 714            , total_duration: 2.22230016s    , real_time_elapsed: 1.017303646s   
Job 649            , total_duration: 689.809984ms   , real_time_elapsed: 370.694211ms   
Job 608            , total_duration: 37.716ms       , real_time_elapsed: 1.341052ms     
Job 621            , total_duration: 270.770016ms   , real_time_elapsed: 101.660821ms   
Job 728            , total_duration: 2.619000064s   , real_time_elapsed: 1.149471944s   
Job 699            , total_duration: 1.872599936s   , real_time_elapsed: 906.353616ms   
Job 639            , total_duration: 568.390016ms   , real_time_elapsed: 299.676632ms   
Job 667            , total_duration: 1.100499968s   , real_time_elapsed: 582.842058ms   
Job 635            , total_duration: 525.1ms        , real_time_elapsed: 274.841074ms   
Job 612            , total_duration: 219.09ms       , real_time_elapsed: 78.863029ms    
Job 613            , total_duration: 252.380016ms   , real_time_elapsed: 98.164701ms    
Job 659            , total_duration: 1.016899968s   , real_time_elapsed: 552.240369ms   
Job 620            , total_duration: 390.76ms       , real_time_elapsed: 176.085711ms   
Job 627            , total_duration: 567.749952ms   , real_time_elapsed: 285.510529ms   
Job 628            , total_duration: 608.750016ms   , real_time_elapsed: 309.523573ms   
Job 597            , total_duration: 136.36ms       , real_time_elapsed: 23.996712ms    
Job 615            , total_duration: 475.829984ms   , real_time_elapsed: 223.69326ms    
